ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","35,305",26.27,22.87,82.19,24
1,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","34,292",26.91,23.55,84.62,24
2,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","34,172",26.56,23.63,84.11,24
3,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","34,469",26.66,23.43,83.30,24
4,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","34,584",26.69,23.35,83.57,24
5,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","34,860",26.75,23.16,82.87,24
6,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,744",26.72,23.94,84.42,24
7,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","35,519",26.88,22.73,81.16,24
8,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","34,947",26.27,23.11,82.47,24
9,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[38276] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","34,530",26.30,23.39,84.54,24
