ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,06,998",222.14,20.54,87.73,24
1,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,06,416",221.70,20.58,88.01,24
2,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,06,791",222.40,20.55,87.80,24
3,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,06,505",221.76,20.58,87.87,24
4,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,05,173",222.34,20.66,88.33,24
5,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,06,378",222.30,20.58,87.89,24
6,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,07,110",221.57,20.53,87.63,24
7,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,06,690",222.72,20.56,87.90,24
8,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,05,015",222.98,20.67,88.29,24
9,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[24976] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","3,05,853",222.43,20.62,88.00,24
