ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,50,927",111.01,21.03,87.64,24
1,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,51,367",110.14,20.97,87.37,24
2,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,51,291",109.66,20.98,87.52,24
3,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,50,703",110.24,21.06,87.68,24
4,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,51,103",110.59,21.01,87.50,24
5,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,51,142",109.95,21.00,87.64,24
6,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,51,206",110.30,20.99,87.40,24
7,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,50,992",109.95,21.02,87.75,24
8,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,50,516",110.72,21.09,87.83,24
9,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[35568] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 8192,    1,    1","  128,    1,    1","1,51,002",110.59,21.02,87.50,24
