ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,239",4.74,9.99,24.36,24
1,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,281",3.94,9.93,24.39,24
2,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,216",3.97,10.04,24.54,24
3,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,205",3.94,10.07,24.60,24
4,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,262",3.90,9.95,24.33,24
5,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,329",3.90,9.83,24.03,24
6,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,235",3.90,10.01,24.43,24
7,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,313",4.03,9.86,24.23,24
8,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,234",4.06,10.00,24.44,24
9,2,AverageGrayscaledImage,"AverageGrayscaledImage(gpu_enhance::Image::RGB *, gpu_enhance::Image::RGB *, int, int)",[36132] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"  128,    1,    1","  128,    1,    1","5,177",3.97,10.12,24.75,24
