ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,37,056",315.62,10.38,92.64,16
1,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,35,621",314.88,10.41,92.95,16
2,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,35,505",314.02,10.42,93.00,16
3,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,34,895",315.58,10.43,93.30,16
4,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,35,410",315.26,10.42,93.13,16
5,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,35,670",316.38,10.41,92.98,16
6,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,34,854",314.56,10.43,93.17,16
7,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,35,789",315.49,10.41,92.92,16
8,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,35,643",316.22,10.41,92.95,16
9,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[25964] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"24300,    1,    1","  128,    1,    1","4,38,179",314.46,10.35,92.59,16
