ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,975",25.66,11.39,86.43,16
1,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,855",26.05,11.43,86.50,16
2,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,073",25.66,11.71,87.74,16
3,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","32,938",25.60,11.76,88.30,16
4,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,172",25.60,11.66,87.86,16
5,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,398",25.57,11.58,87.30,16
6,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,391",25.63,11.59,87.31,16
7,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,592",25.57,11.52,86.86,16
8,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,715",26.05,11.48,86.60,16
9,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[31192] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU," 2072,    1,    1","  128,    1,    1","33,302",26.21,11.63,87.28,16
