ID,Issues Detected,Function Name,Demangled Name,Process,Device Name,Grid Size,Block Size,Cycles [cycle],Duration [usecond],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread]
0,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,91,120",211.49,10.45,92.53,16
1,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,90,774",210.11,10.46,92.64,16
2,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,91,048",212.10,10.45,92.73,16
3,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,89,408",210.85,10.52,92.83,16
4,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,89,788",210.98,10.49,93.06,16
5,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,91,771",210.88,10.42,92.49,16
6,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,90,303",210.46,10.48,92.92,16
7,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,89,557",210.40,10.50,93.10,16
8,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,90,363",212.06,10.49,92.57,16
9,2,SetImageBrightnessKernel,"SetImageBrightnessKernel(gpu_enhance::Image::RGB *, int, int)",[21752] GPUImageEnhancement.exe,NVIDIA GeForce RTX 3060 Laptop GPU,"16290,    1,    1","  128,    1,    1","2,90,053",211.49,10.48,92.85,16
